pilot_id,_company_key,cik,symbol,security,sec_entity_name,sec_tickers,sec_exchanges,sic,sic_description,state_of_incorporation,fiscal_year_end,metadata_source,metadata_status,historical_fragment_count,retrieved_at,selection_status,replacement_status,replacement_for,replaced_by,replacement_reason,original_pilot_id,replacement_pilot_id,sampling_seed,reserve_order,within_sector_random_order,analysis_included,final_sample_status
P2025-040,cik:0000315293,0000315293,AON,Aon plc,Aon plc,AON,NYSE,6411,"Insurance Agents, Brokers & Service",L2,1231,https://data.sec.gov/submissions/CIK0000315293.json,success,0,2026-07-29T10:25:49.421630+00:00,,not_replaced,,,,P2025-040,,20250729,,,1,included
P2025-041,cik:0001035267,0001035267,ISRG,Intuitive Surgical,INTUITIVE SURGICAL INC,ISRG,Nasdaq,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",DE,1231,https://data.sec.gov/submissions/CIK0001035267.json,success,0,2026-07-29T10:25:49.465454+00:00,,not_replaced,,,,P2025-041,,20250729,,,1,included
P2025-042,cik:0000313616,0000313616,DHR,Danaher Corporation,DANAHER CORP /DE/,DHR,NYSE,3823,"Industrial Instruments For Measurement, Display, and Control",DE,1231,https://data.sec.gov/submissions/CIK0000313616.json,success,0,2026-07-29T10:25:49.500768+00:00,,not_replaced,,,,P2025-042,,20250729,,,1,included
P2025-043,cik:0000860730,0000860730,HCA,HCA Healthcare,"HCA Healthcare, Inc.",HCA,NYSE,8062,"Services-General Medical & Surgical Hospitals, NEC",,1231,https://data.sec.gov/submissions/CIK0000860730.json,success,0,2026-07-29T10:25:49.523169+00:00,,not_replaced,,,,P2025-043,,20250729,,,1,included
P2025-044,cik:0000872589,0000872589,REGN,Regeneron Pharmaceuticals,"REGENERON PHARMACEUTICALS, INC.",REGN,Nasdaq,2834,Pharmaceutical Preparations,NY,1231,https://data.sec.gov/submissions/CIK0000872589.json,success,0,2026-07-29T10:25:49.552517+00:00,,not_replaced,,,,P2025-044,,20250729,,,1,included
P2025-045,cik:0001071739,0001071739,CNC,Centene Corporation,CENTENE CORP,CNC,NYSE,6324,Hospital & Medical Service Plans,DE,1231,https://data.sec.gov/submissions/CIK0001071739.json,success,0,2026-07-29T10:25:49.577266+00:00,,not_replaced,,,,P2025-045,,20250729,,,1,included
P2025-046,cik:0001000228,0001000228,HSIC,Henry Schein,HENRY SCHEIN INC,HSIC,Nasdaq,5047,"Wholesale-Medical, Dental & Hospital Equipment & Supplies",DE,1226,https://data.sec.gov/submissions/CIK0001000228.json,success,0,2026-07-29T10:25:49.600826+00:00,,not_replaced,,,,P2025-046,,20250729,,,1,included
P2025-047,cik:0001000697,0001000697,WAT,Waters Corporation,WATERS CORP /DE/,WAT,NYSE,3826,Laboratory Analytical Instruments,DE,1231,https://data.sec.gov/submissions/CIK0001000697.json,success,0,2026-07-29T10:25:49.633130+00:00,,not_replaced,,,,P2025-047,,20250729,,,1,included
P2025-048,cik:0000731766,0000731766,UNH,UnitedHealth Group,UNITEDHEALTH GROUP INC,UNH,NYSE,6324,Hospital & Medical Service Plans,DE,1231,https://data.sec.gov/submissions/CIK0000731766.json,success,0,2026-07-29T10:25:49.659417+00:00,,not_replaced,,,,P2025-048,,20250729,,,1,included
P2025-049,cik:0001555280,0001555280,ZTS,Zoetis,Zoetis Inc.,ZTS,NYSE,2834,Pharmaceutical Preparations,,1231,https://data.sec.gov/submissions/CIK0001555280.json,success,0,2026-07-29T10:25:49.682881+00:00,,not_replaced,,,,P2025-049,,20250729,,,1,included
