company_id,cik,ticker,company_name,accession_number,report_year,filing_date,parser_version,language_measurement_version,ai_uncertainty_count,ai_uncertainty_ratio,ai_litigious_count,ai_litigious_ratio,ai_weak_modal_count,ai_weak_modal_ratio,ai_strong_modal_count,ai_strong_modal_ratio,ai_constraining_count,ai_constraining_ratio,ai_total_eligible_word_count,uncertainty_status,ai_positive_count,ai_negative_count,ai_positive_ratio,ai_negative_ratio,ai_net_tone,ai_sentiment_word_coverage,ai_net_tone_by_words,ai_total_lm_matched_word_count,sentiment_status,lm_ai_status
S2021-161,0000906107,EQR,Equity Residential,0001564590-22-005566,2021,2022-02-17,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-162,0000920522,ESS,Essex Property Trust,0000920522-22-000019,2021,2022-02-25,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-163,0001001250,EL,Estée Lauder Companies (The),0001001250-21-000127,2021,2021-08-27,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-164,0001370637,ETSY,Etsy,0001370637-22-000024,2021,2022-02-25,1.0.3,0.3.0,2,0.007547169811320755,0,0.0,2,0.007547169811320755,0,0.0,0,0.0,265,success,8,6,0.03018867924528302,0.022641509433962263,0.14285714285714285,0.052830188679245285,0.007547169811320755,16,success,success
S2021-165,0001711269,EVRG,Evergy,0001711269-22-000008,2021,2022-02-25,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-166,0000072741,ES,Eversource Energy,0000072741-22-000015,2021,2022-02-17,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-167,0001109357,EXC,Exelon,0001109357-22-000039,2021,2022-02-25,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-168,0001324424,EXPE,Expedia Group,0001324424-22-000009,2021,2022-02-11,1.0.3,0.3.0,1,0.021739130434782608,0,0.0,1,0.021739130434782608,0,0.0,0,0.0,46,success,0,0,0.0,0.0,,0.0,0.0,1,success,success
S2021-169,0000746515,EXPD,Expeditors International,0001564590-22-010381,2021,2022-03-15,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-170,0001289490,EXR,Extra Space Storage,0001628280-22-004274,2021,2022-02-28,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-171,0000034088,XOM,ExxonMobil,0000034088-22-000011,2021,2022-02-23,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-172,0001048695,FFIV,"F5, Inc.",0001048695-21-000044,2021,2021-11-16,1.0.3,0.3.0,0,0.0,0,0.0,0,0.0,1,0.006993006993006993,0,0.0,143,success,3,4,0.02097902097902098,0.027972027972027972,-0.14285714285714285,0.04895104895104895,-0.006993006993006993,7,success,success
S2021-173,0000037785,FMC,FMC Corporation,0000037785-22-000025,2021,2022-02-25,1.0.3,0.3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,35,success,1,0,0.02857142857142857,0.0,1.0,0.02857142857142857,0.02857142857142857,1,success,success
S2021-174,0001326801,FB,Facebook,0001326801-22-000018,2021,2022-02-03,1.0.3,0.3.0,8,0.011747430249632892,10,0.014684287812041116,4,0.005873715124816446,0,0.0,0,0.0,681,success,4,6,0.005873715124816446,0.00881057268722467,-0.2,0.014684287812041116,-0.002936857562408223,28,success,success
S2021-175,0001013237,FDS,FactSet,0001013237-21-000142,2021,2021-10-22,1.0.3,0.3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,68,success,2,2,0.029411764705882353,0.029411764705882353,0.0,0.058823529411764705,0.0,4,success,success
