company_id,cik,ticker,company_name,accession_number,report_year,filing_date,ai_disclosure_binary,ai_term_count,ai_terms_per_1000_words,ai_sentence_count,ai_sentence_ratio,total_analysis_word_count,total_analysis_sentence_count,ai_detection_status
S2022-200,0000882095,GILD,Gilead Sciences,0000882095-23-000007,2022,2023-02-22,0,0,0.0,0,0.0,50615,2380,success
S2022-201,0001123360,GPN,Global Payments,0001123360-23-000009,2022,2023-02-17,1,2,0.03498766684743628,1,0.000429553264604811,57163,2328,success
S2022-202,0000320335,GL,Globe Life,0000320335-23-000008,2022,2023-02-23,0,0,0.0,0,0.0,43275,2674,success
S2022-203,0000886982,GS,Goldman Sachs,0000886982-23-000003,2022,2023-02-24,0,0,0.0,0,0.0,180860,8270,success
S2022-204,0000860730,HCA,HCA Healthcare,0000950170-23-003234,2022,2023-02-17,1,2,0.026700843746662394,1,0.0002938583602703497,74904,3403,success
S2022-205,0000047217,HPQ,HP Inc.,0000047217-22-000068,2022,2022-12-06,0,0,0.0,0,0.0,56423,2869,success
S2022-206,0000045012,HAL,Halliburton,0000045012-23-000011,2022,2023-02-07,1,1,0.03431355728648389,1,0.0005827505827505828,29143,1716,success
S2022-207,0000874766,HIG,Hartford (The),0000874766-23-000023,2022,2023-02-24,1,1,0.007871226730685977,1,0.00016152479405588758,127045,6191,success
S2022-208,0000046080,HAS,Hasbro,0000046080-23-000017,2022,2023-02-22,0,0,0.0,0,0.0,66612,2964,success
S2022-209,0000765880,PEAK,Healthpeak Properties,0001628280-23-002794,2022,2023-02-08,0,0,0.0,0,0.0,63735,2852,success
S2022-210,0001000228,HSIC,Henry Schein,0001000228-23-000011,2022,2023-02-21,0,0,0.0,0,0.0,38893,4765,success
S2022-211,0000047111,HSY,Hershey Company (The),0000047111-23-000012,2022,2023-02-17,0,0,0.0,0,0.0,40919,2317,success
S2022-212,0001645590,HPE,Hewlett Packard Enterprise,0001645590-22-000071,2022,2022-12-08,1,85,1.229638630905882,67,0.02102950408035154,69126,3186,success
S2022-213,0001585689,HLT,Hilton Worldwide,0001585689-23-000036,2022,2023-02-09,0,0,0.0,0,0.0,54767,2322,success
S2022-214,0000354950,HD,Home Depot (The),0000354950-22-000070,2022,2022-03-23,0,0,0.0,0,0.0,35660,1779,success
S2022-215,0000773840,HON,Honeywell Technologies,0000773840-23-000013,2022,2023-02-10,1,2,0.047905339050037125,1,0.000423728813559322,41749,2360,success
S2022-216,0000048465,HRL,Hormel Foods,0000048465-22-000051,2022,2022-12-06,0,0,0.0,0,0.0,29279,1673,success
S2022-217,0001070750,HST,Host Hotels & Resorts,0000950170-23-003778,2022,2023-02-22,0,0,0.0,0,0.0,76153,3491,success
S2022-218,0000004281,HWM,Howmet Aerospace,0000004281-23-000004,2022,2023-02-14,0,0,0.0,0,0.0,45632,2148,success
S2022-219,0000049071,HUM,Humana,0000049071-23-000011,2022,2023-02-16,0,0,0.0,0,0.0,60684,2675,success
S2022-220,0000049196,HBAN,Huntington Bancshares,0000049196-23-000020,2022,2023-02-17,0,0,0.0,0,0.0,64823,3251,success
S2022-221,0001501585,HII,Huntington Ingalls Industries,0001501585-23-000010,2022,2023-02-09,1,5,0.08916788529443236,4,0.0015296367112810707,56074,2615,success
S2022-222,0000051143,IBM,IBM,0001558370-23-002376,2022,2023-02-28,1,10,1.0587612493382743,9,0.017241379310344827,9445,522,success
S2022-223,0000832101,IEX,IDEX Corporation,0000832101-23-000013,2022,2023-02-23,0,0,0.0,0,0.0,37459,1817,success
S2022-224,0001478242,IQV,IQVIA,0001478242-23-000044,2022,2023-02-15,1,1,0.017156189953335163,1,0.00037439161362785476,58288,2671,success
S2022-225,0000874716,IDXX,Idexx Laboratories,0000874716-23-000006,2022,2023-02-16,0,0,0.0,0,0.0,58641,2597,success
S2022-226,0000049826,ITW,Illinois Tool Works,0000049826-23-000008,2022,2023-02-10,0,0,0.0,0,0.0,33256,1835,success
S2022-227,0001110803,ILMN,"Illumina, Inc.",0001110803-22-000013,2022,2022-02-18,1,1,0.021910124668609365,1,0.00046490004649000463,45641,2151,success
S2022-228,0000879169,INCY,Incyte,0000879169-23-000008,2022,2023-02-07,0,0,0.0,0,0.0,70166,2869,success
S2022-229,0001699150,IR,Ingersoll Rand,0001628280-23-004287,2022,2023-02-21,0,0,0.0,0,0.0,51419,2277,success
S2022-230,0000050863,INTC,Intel,0000050863-23-000006,2022,2023-01-27,1,51,0.9334163036714375,40,0.014347202295552367,54638,2788,success
S2022-231,0001571949,ICE,Intercontinental Exchange,0001571949-23-000006,2022,2023-02-02,1,4,0.05150391429748661,4,0.0011638056444573757,77664,3437,success
S2022-232,0000051253,IFF,International Flavors & Fragrances,0000051253-23-000009,2022,2023-02-27,0,0,0.0,0,0.0,59789,2614,success
S2022-233,0000051434,IP,International Paper,0000051434-23-000013,2022,2023-02-17,0,0,0.0,0,0.0,60915,2839,success
S2022-234,0000896878,INTU,Intuit,0000896878-22-000028,2022,2022-09-02,1,24,0.46013152092639814,19,0.007132132132132132,52159,2664,success
S2022-235,0001035267,ISRG,Intuitive Surgical,0001035267-23-000019,2022,2023-02-10,0,0,0.0,0,0.0,82957,3507,success
S2022-236,0000914208,IVZ,Invesco,0000914208-23-000297,2022,2023-02-23,0,0,0.0,0,0.0,43848,2177,success
S2022-237,0001687229,INVH,Invitation Homes,0001687229-23-000029,2022,2023-02-22,0,0,0.0,0,0.0,68986,2883,success
S2022-238,0001020569,IRM,Iron Mountain,0001020569-23-000043,2022,2023-02-23,1,2,0.03605227579990987,2,0.0006389776357827476,55475,3130,success
S2022-239,0000728535,JBHT,J.B. Hunt,0001437749-23-004530,2022,2023-02-24,0,0,0.0,0,0.0,23692,1280,success
S2022-240,0000091419,SJM,J.M. Smucker Company (The),0000091419-22-000049,2022,2022-06-16,0,0,0.0,0,0.0,42834,1937,success
S2022-241,0000019617,JPM,JPMorgan Chase,0000019617-23-000231,2022,2023-02-21,0,0,0.0,0,0.0,164367,8216,success
S2022-242,0000779152,JKHY,Jack Henry & Associates,0000779152-22-000076,2022,2022-08-25,1,2,0.0635970490969219,1,0.000643915003219575,31448,1553,success
S2022-243,0000052988,J,Jacobs Solutions,0000052988-22-000111,2022,2022-11-21,1,5,0.07837850547865753,5,0.001688048615800135,63793,2962,success
S2022-244,0000200406,JNJ,Johnson & Johnson,0000200406-22-000022,2022,2022-02-17,0,0,0.0,0,0.0,57631,2783,success
S2022-245,0000833444,JCI,Johnson Controls,0000833444-22-000043,2022,2022-11-15,1,1,0.01808579903060117,1,0.00041946308724832214,55292,2384,success
S2022-246,0000319201,KLAC,KLA Corporation,0000319201-22-000023,2022,2022-08-05,1,3,0.04830840083090449,2,0.0007619047619047619,62101,2625,success
S2022-247,0001418135,KDP,Keurig Dr Pepper,0001418135-23-000003,2022,2023-02-23,1,1,0.0209669979452342,1,0.00039385584875935406,47694,2539,success
S2022-248,0000091576,KEY,KeyCorp,0000091576-23-000026,2022,2023-02-22,1,1,0.012426219322771047,1,0.00024195499637067505,80475,4133,success
S2022-249,0001601046,KEYS,Keysight Technologies,0001601046-22-000161,2022,2022-12-15,1,10,0.18277525954086854,6,0.002338269680436477,54712,2566,success
