company_id,cik,ticker,company_name,accession_number,report_year,filing_date,parser_version,language_measurement_version,ai_concreteness_mean,ai_concreteness_median,ai_concreteness_standard_deviation,ai_concreteness_min,ai_concreteness_max,ai_concreteness_matched_token_count,ai_concreteness_eligible_token_count,ai_concreteness_unmatched_token_count,ai_concreteness_coverage,ai_concreteness_unique_dictionary_entries,ai_concreteness_stem_collision_count,ai_concreteness_status
S2022-124,0000909832,COST,Costco,0000909832-22-000021,2022,2022-10-05,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-125,0001051470,CCI,Crown Castle,0001051470-23-000041,2022,2023-02-24,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-126,0000026172,CMI,Cummins,0000026172-23-000005,2022,2023-02-14,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-127,0000882184,DHI,D. R. Horton,0000882184-22-000184,2022,2022-11-18,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-128,0000936340,DTE,DTE Energy,0000936340-23-000073,2022,2023-02-23,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-129,0001688568,DXC,DXC Technology,0001688568-22-000027,2022,2022-05-26,1.0.3,0.3.0,2.994545454545454,2.93,0.7689847336983726,1.62,4.54,55,74,19,0.7432432432432432,50,11,warning_stem_collisions
S2022-130,0000927066,DVA,DaVita,0000927066-23-000011,2022,2023-02-22,1.0.3,0.3.0,3.091111111111111,3.14,0.7333097639310029,2.0,4.25,9,12,3,0.75,9,3,warning_stem_collisions
S2022-131,0000313616,DHR,Danaher Corporation,0000313616-23-000087,2022,2023-02-22,1.0.3,0.3.0,2.7210714285714284,2.7,0.4756524788248716,2.0,4.11,28,41,13,0.6829268292682927,28,9,warning_stem_collisions
S2022-132,0000940944,DRI,Darden Restaurants,0000940944-22-000042,2022,2022-07-22,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-133,0000315189,DE,Deere & Company,0001558370-22-018703,2022,2022-12-15,1.0.3,0.3.0,3.3964285714285714,3.1900000000000004,0.805699404624482,2.41,4.89,14,16,2,0.875,14,0,success
S2022-134,0000027904,DAL,Delta Air Lines,0000027904-23-000003,2022,2023-02-10,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-135,0000818479,XRAY,Dentsply Sirona,0000818479-23-000017,2022,2023-03-01,1.0.3,0.3.0,2.8503703703703707,2.87,0.6496066130472177,1.87,4.25,27,37,10,0.7297297297297297,22,8,warning_stem_collisions
S2022-136,0001090012,DVN,Devon Energy,0000950170-23-002852,2022,2023-02-15,1.0.3,0.3.0,2.7800000000000002,2.93,0.623142573306195,1.54,3.93,15,16,1,0.9375,14,1,warning_stem_collisions
S2022-137,0001093557,DXCM,Dexcom,0001093557-23-000024,2022,2023-02-09,1.0.3,0.3.0,2.7011764705882353,2.5,0.7188379703950404,1.66,4.25,17,21,4,0.8095238095238095,16,2,warning_stem_collisions
S2022-138,0001539838,FANG,Diamondback Energy,0001539838-23-000022,2022,2023-02-23,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-139,0001297996,DLR,Digital Realty,0001558370-23-002087,2022,2023-02-27,1.0.3,0.3.0,3.123,3.0549999999999997,0.8202322841732089,2.0,4.64,10,11,1,0.9090909090909091,10,1,warning_stem_collisions
S2022-140,0000029534,DG,Dollar General,0001558370-22-003921,2022,2022-03-18,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-141,0000935703,DLTR,Dollar Tree,0000935703-22-000020,2022,2022-03-15,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-142,0000715957,D,Dominion Energy,0000950170-23-003287,2022,2023-02-21,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-143,0001286681,DPZ,Domino's,0000950170-22-002426,2022,2022-03-01,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-144,0000029905,DOV,Dover Corporation,0000029905-23-000008,2022,2023-02-10,1.0.3,0.3.0,3.298035714285714,3.44,0.8068068002999257,1.8,4.83,56,75,19,0.7466666666666667,46,14,warning_stem_collisions
S2022-145,0001751788,DOW,Dow Inc.,0001751788-23-000014,2022,2023-02-01,1.0.3,0.3.0,2.50125,2.24,0.7210311626413937,1.66,4.14,8,9,1,0.8888888888888888,7,0,success
S2022-146,0001666700,DD,DuPont,0001666700-23-000008,2022,2023-02-15,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-147,0001326160,DUK,Duke Energy,0001326160-23-000073,2022,2023-02-27,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-148,0000821189,EOG,EOG Resources,0000821189-23-000015,2022,2023-02-23,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-149,0001352010,EPAM,EPAM Systems,0001352010-23-000013,2022,2023-02-24,1.0.3,0.3.0,2.955,3.13,0.7991526762765674,1.64,4.48,30,37,7,0.8108108108108109,28,7,warning_stem_collisions
