variable,report_year,paired_firm_count,mean_within_firm_change,median_within_firm_change,standard_deviation,p25,p75
passive_voice_sentence_share,2016,171,-0.0018583714074098,-0.0019829320045933,0.0109660585104341,-0.0094284308011832,0.0040542789752987
passive_voice_sentence_share,2017,239,-0.001323008338252,-0.0010139005239631,0.0127739522779955,-0.0079397257503138,0.0056339063919483
passive_voice_sentence_share,2018,306,0.0002835624658344,-0.0003233690277484,0.0123245541834206,-0.0070560698362809,0.0076023801319559
passive_voice_sentence_share,2019,373,0.002345423974063,0.0014404671444382,0.0142892484031073,-0.0064792998244598,0.0098578821983076
passive_voice_sentence_share,2020,424,-0.005763085810068,-0.0063427861681667,0.0165133164495668,-0.0144381415060885,0.0020884231253345
passive_voice_sentence_share,2021,434,-0.0018381699665764,-0.0019608800954691,0.0112070197362338,-0.0080958777511054,0.0046067386144644
passive_voice_sentence_share,2022,452,0.0003787538655199,-0.0002816048616504,0.0107870430026541,-0.0061468230894803,0.0051627665665117
passive_voice_sentence_share,2023,458,-0.001282652157116,-0.0008040781823893,0.0108324811754585,-0.0070854918506079,0.0053638494331034
passive_voice_sentence_share,2024,465,3.574664393953688e-05,0.0002086096701438,0.009480683090662,-0.0053629526560846,0.0057991689608838
passive_voice_sentence_share,2025,462,-0.0009001900543713,-0.0007273105662354,0.0084422001661697,-0.0060713551641512,0.0044425109855596
fog_index,2007,12,0.1009919716666661,0.1093117049999996,0.5318505703371769,-0.0583158800000003,0.2005510074999987
fog_index,2008,20,-0.0987202154999998,-0.0550637099999988,0.4959215534862297,-0.1914090625000009,0.1250667349999998
fog_index,2009,33,0.1242153072727271,0.0994772700000012,0.2498557027610309,-0.0441878899999998,0.2732410099999995
fog_index,2010,39,0.1575025158974358,0.0653001800000012,0.6723108108380957,-0.1472915649999997,0.3030554850000015
fog_index,2011,43,0.201985184418605,0.1255195100000001,0.3756352246308763,-0.0211048199999979,0.2886680250000015
fog_index,2012,49,0.0557787665306118,0.0467358799999999,0.3031441348208559,-0.0944715699999996,0.2499315700000011
fog_index,2013,67,0.0396091255223884,0.0460424100000018,0.2443849165363786,-0.0947435399999996,0.1394346050000017
fog_index,2014,90,0.0245460914444442,0.0433301349999997,0.2862415192674737,-0.0610110325000006,0.1345169625000002
fog_index,2015,131,0.0388188948091602,0.0156922000000001,0.2545276368996316,-0.083299114999999,0.1542415550000004
fog_index,2016,171,0.0287379640350877,0.0267834600000007,0.2335643412137152,-0.0941821499999981,0.1350735099999997
fog_index,2017,239,0.0387348223849373,0.0319770299999966,0.2299309285031887,-0.069262544999999,0.1580450499999983
fog_index,2018,306,0.0810018900653594,0.0696161300000017,0.254042114740269,-0.043680975,0.1686581875000001
fog_index,2019,373,-0.0058338397050938,0.0708429399999985,0.5501575541692091,-0.0513484599999998,0.1814885099999976
fog_index,2020,424,0.076457801226415,0.0805849500000004,0.4571855601881488,-0.0549584499999982,0.2283388250000007
fog_index,2021,434,0.059576748156682,0.0458844000000002,0.402585163719744,-0.0701749074999993,0.1727060275000003
fog_index,2022,452,0.0536445943362832,0.0467338499999989,0.6167821769811833,-0.0650580699999991,0.1700335349999981
fog_index,2023,458,0.0687528195851528,0.0671782150000002,0.2243535198631696,-0.0368528374999996,0.1726035599999997
fog_index,2024,465,0.0637075345161291,0.0798832699999998,0.3082491915144338,-0.0166991700000025,0.1684745899999988
fog_index,2025,462,-0.0074571338744589,0.0547304200000002,0.5997303514726323,-0.0508652000000005,0.1635045024999994
ai_sentence_count,2007,12,0.0,0.0,0.0,0.0,0.0
ai_sentence_count,2008,20,0.0,0.0,0.0,0.0,0.0
ai_sentence_count,2009,33,0.0303030303030303,0.0,0.1740776559556978,0.0,0.0
ai_sentence_count,2010,39,0.0,0.0,0.0,0.0,0.0
ai_sentence_count,2011,43,0.0232558139534883,0.0,0.1524985703326046,0.0,0.0
ai_sentence_count,2012,49,0.0408163265306122,0.0,0.2857142857142857,0.0,0.0
ai_sentence_count,2013,67,-0.0298507462686567,0.0,0.3000075379725378,0.0,0.0
ai_sentence_count,2014,90,-0.0111111111111111,0.0,0.1832567085360606,0.0,0.0
ai_sentence_count,2015,131,0.0839694656488549,0.0,0.877392710416066,0.0,0.0
ai_sentence_count,2016,171,0.1461988304093567,0.0,1.1307078190225024,0.0,0.0
ai_sentence_count,2017,239,0.3305439330543933,0.0,2.1740322190455994,0.0,0.0
ai_sentence_count,2018,306,0.2581699346405229,0.0,1.4582771950438342,0.0,0.0
ai_sentence_count,2019,373,0.1930294906166219,0.0,1.0876900114260142,0.0,0.0
ai_sentence_count,2020,424,0.4174528301886792,0.0,2.2997126190368777,0.0,0.0
ai_sentence_count,2021,434,0.2304147465437788,0.0,2.8075115860220574,0.0,0.0
ai_sentence_count,2022,452,0.3407079646017699,0.0,1.852385633546319,0.0,0.0
ai_sentence_count,2023,458,4.131004366812227,1.0,8.102750935999099,0.0,4.75
ai_sentence_count,2024,465,5.178494623655914,3.0,7.020626161139429,1.0,8.0
ai_sentence_count,2025,462,5.909090909090909,4.0,7.678488109581496,1.0,8.0
ai_net_tone,2015,2,0.0,0.0,0.0,0.0,0.0
ai_net_tone,2016,2,-0.0166666649999999,-0.0166666649999999,0.0235702236825289,-0.0249999974999999,-0.0083333324999999
ai_net_tone,2017,8,-0.26736111125,-0.11111111,0.3750183716413938,-0.3541666675,0.0
ai_net_tone,2018,21,-0.0458604142857142,0.0,0.1918815067523006,0.0,0.0
ai_net_tone,2019,37,-0.0143542132432432,0.0,0.3802205231596315,0.0,0.0
ai_net_tone,2020,65,-0.0932064987692307,0.0,0.3643876126435271,-0.04956897,0.0
ai_net_tone,2021,84,0.0083317544047619,0.0,0.349583739756455,0.0,0.0318186849999999
ai_net_tone,2022,107,-0.0912374269158878,0.0,0.3728898035255862,-0.055072465,0.0
ai_net_tone,2023,123,-0.2972960942276422,0.0,0.646607143585226,-0.680555555,0.06904762
ai_net_tone,2024,287,-0.150295761358885,0.0,0.4927007670058513,-0.28916667,0.076817705
ai_net_tone,2025,391,-0.0239721616879795,0.0,0.4056385699202046,-0.1188502699999999,0.13986706
