report_year,original_ticker,original_company_name,original_exclusion_reason,matched_panel_company_id,matched_panel_cik,matched_panel_ticker_history,matched_panel_company_name_history,candidate_cik_count,identity_match_method,identity_match_status,sec_lookup_status,eligible_filing_count,selected_accession_number,selected_filing_date,selected_report_date,selected_primary_document,recovery_status,recovery_reason,requires_manual_review
2021,FRC,First Republic Bank,cik_missing_in_2021_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2021,FBHS,Fortune Brands Home & Security,cik_missing_in_2021_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2021,GPS,Gap,cik_missing_in_2021_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2021,HES,Hess Corporation,cik_missing_in_2021_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2021,HOLX,Hologic,cik_missing_in_2021_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2021,INFO,IHS Markit,cik_missing_in_2021_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2021,IPG,Interpublic Group,cik_missing_in_2021_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2021,JNPR,Juniper Networks,cik_missing_in_2021_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2021,K,Kellanova,cik_missing_in_2021_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2021,LHX,L3Harris,ambiguous_multiple_eligible_2021_report_date_10k,cik:0000202058,0000202058,LHX,L3Harris,1,normalized_ticker_and_company_name,unique_panel_cik_match,not_attempted_not_identity_recovery_target,,,,,,not_recovered_other,outside_primary_identity_recovery_scope,1
2021,LDOS,Leidos,ambiguous_multiple_eligible_2021_report_date_10k,cik:0001336920,0001336920,LDOS,Leidos,1,normalized_ticker_and_company_name,unique_panel_cik_match,not_attempted_not_identity_recovery_target,,,,,,not_recovered_other,outside_primary_identity_recovery_scope,1
2021,MRO,Marathon Oil,cik_missing_in_2021_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2021,NLSN,Nielsen Holdings,cik_missing_in_2021_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2021,PBCT,People's United Financial,cik_missing_in_2021_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2021,PXD,Pioneer Natural Resources,cik_missing_in_2021_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2021,SIVB,SVB Financial Group,cik_missing_in_2021_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2021,SEE,Sealed Air,cik_missing_in_2021_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2021,SBNY,Signature Bank,cik_missing_in_2021_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2021,TRMB,Trimble Inc.,ambiguous_multiple_eligible_2021_report_date_10k,cik:0000864749,0000864749,TRMB,Trimble Inc.,1,normalized_ticker_and_company_name,unique_panel_cik_match,not_attempted_not_identity_recovery_target,,,,,,not_recovered_other,outside_primary_identity_recovery_scope,1
2021,TWTR,Twitter,cik_missing_in_2021_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2021,WBA,Walgreens Boots Alliance,cik_missing_in_2021_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2021,WLTW,Willis Towers Watson,cik_missing_in_2021_universe,cik:0001140536,0001140536,WTW,Willis Towers Watson,1,normalized_company_name,unique_panel_cik_match,success,1,0000950170-22-001932,2022-02-24,2021-12-31,wtw-20211231.htm,recovered,unique_panel_cik_and_unique_filing,0
2021,XLNX,Xilinx,cik_missing_in_2021_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2022,ATVI,Activision Blizzard,cik_missing_in_2022_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2022,AAP,Advance Auto Parts,ambiguous_multiple_eligible_2022_report_date_10k,cik:0001158449,0001158449,AAP,Advance Auto Parts,1,normalized_ticker_and_company_name,unique_panel_cik_match,not_attempted_not_identity_recovery_target,,,,,,not_recovered_other,outside_primary_identity_recovery_scope,1
2022,ANSS,Ansys,cik_missing_in_2022_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2022,AVY,Avery Dennison,ambiguous_multiple_eligible_2022_report_date_10k,cik:0000008818,0000008818,AVY,Avery Dennison,1,normalized_ticker_and_company_name,unique_panel_cik_match,not_attempted_not_identity_recovery_target,,,,,,not_recovered_other,outside_primary_identity_recovery_scope,1
2022,BLK,BlackRock,no_unique_eligible_2022_report_date_10k,cik:0002012383,0002012383,BLK,BlackRock,1,normalized_ticker_and_company_name,unique_panel_cik_match,not_attempted_not_identity_recovery_target,,,,,,not_recovered_other,outside_primary_identity_recovery_scope,0
2022,CDNS,Cadence Design Systems,ambiguous_multiple_eligible_2022_report_date_10k,cik:0000813672,0000813672,CDNS,Cadence Design Systems,1,normalized_ticker_and_company_name,unique_panel_cik_match,not_attempted_not_identity_recovery_target,,,,,,not_recovered_other,outside_primary_identity_recovery_scope,1
2022,CTLT,Catalent,cik_missing_in_2022_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2022,CDAY,Ceridian,cik_missing_in_2022_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2022,CMA,Comerica,cik_missing_in_2022_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2022,CTRA,Coterra Energy,cik_missing_in_2022_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2022,DFS,Discover Financial,cik_missing_in_2022_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2022,DISH,Dish Network,cik_missing_in_2022_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2022,RE,Everest Re Group,cik_missing_in_2022_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
